pair,family,params,train_sharpe,train_ret,train_dd,train_trades,train_wr,oos_sharpe,oos_ret,oos_dd,oos_trades,oos_wr
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 14}",0.05,0.76,-5.63,17,45.1,0.661,9.15,-4.8,21,48.5
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 14}",-0.144,-6.24,-15.79,74,44.6,0.288,5.75,-7.38,58,48.5
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 14}",-0.028,-2.46,-15.39,67,45.2,0.639,15.78,-5.38,53,50.7
EURUSD,vol_break,"{""hold"": 3, ""k"": 0.5}",-0.727,-35.21,-38.98,434,44.0,-1.215,-33.77,-37.17,262,41.6
EURUSD,vol_break,"{""hold"": 5, ""k"": 0.5}",-0.678,-34.96,-37.1,397,46.0,-1.228,-35.67,-39.12,236,44.4
EURUSD,vol_break,"{""hold"": 10, ""k"": 0.5}",-0.749,-38.38,-39.67,382,46.9,-1.192,-35.63,-38.76,224,45.7
EURUSD,vol_break,"{""hold"": 3, ""k"": 1.0}",-0.584,-17.93,-22.8,129,37.4,-0.54,-10.82,-13.82,81,37.3
EURUSD,vol_break,"{""hold"": 5, ""k"": 1.0}",-0.451,-16.81,-24.71,120,40.8,-0.408,-9.98,-16.35,75,39.7
EURUSD,vol_break,"{""hold"": 10, ""k"": 1.0}",-0.53,-23.41,-36.88,106,43.3,-0.276,-8.45,-13.14,64,43.1
EURUSD,vol_break,"{""hold"": 3, ""k"": 1.5}",-0.461,-8.8,-10.41,35,34.9,-0.504,-5.17,-7.41,18,36.7
EURUSD,vol_break,"{""hold"": 5, ""k"": 1.5}",-0.385,-8.78,-10.8,35,37.4,-0.373,-4.5,-7.05,18,39.7
EURUSD,vol_break,"{""hold"": 10, ""k"": 1.5}",-0.03,-1.48,-15.17,35,43.0,-0.635,-9.07,-11.64,16,41.2
EURUSD,momentum,"{""hold"": 5, ""look"": 10}",-0.617,-33.18,-49.83,289,49.2,-0.325,-12.26,-13.51,169,46.9
EURUSD,momentum,"{""hold"": 10, ""look"": 10}",-0.718,-37.21,-50.96,285,49.1,0.23,7.13,-9.94,172,49.3
EURUSD,momentum,"{""hold"": 20, ""look"": 10}",-0.166,-11.84,-28.72,282,48.7,-0.217,-8.78,-17.45,175,46.9
EURUSD,momentum,"{""hold"": 5, ""look"": 20}",-0.587,-31.95,-39.95,204,48.1,-0.258,-10.15,-17.83,95,47.0
EURUSD,momentum,"{""hold"": 10, ""look"": 20}",-0.406,-23.94,-35.14,203,49.5,0.438,15.45,-15.05,95,48.0
EURUSD,momentum,"{""hold"": 20, ""look"": 20}",0.098,3.69,-26.6,203,49.4,-0.808,-26.26,-29.14,92,46.3
EURUSD,momentum,"{""hold"": 5, ""look"": 60}",-0.139,-10.33,-30.83,146,49.7,0.02,-0.67,-13.07,70,48.0
EURUSD,momentum,"{""hold"": 10, ""look"": 60}",-0.228,-15.07,-35.72,146,49.4,-0.043,-2.9,-17.43,68,48.1
EURUSD,momentum,"{""hold"": 20, ""look"": 60}",-0.306,-18.97,-35.36,146,49.4,-0.195,-8.06,-20.56,67,48.4
EURUSD,momentum,"{""hold"": 5, ""look"": 120}",-0.333,-20.04,-37.46,88,49.6,-0.034,-2.59,-18.4,40,48.3
EURUSD,momentum,"{""hold"": 10, ""look"": 120}",0.041,0.15,-20.99,88,50.6,-0.696,-23.25,-34.59,40,47.3
EURUSD,momentum,"{""hold"": 20, ""look"": 120}",0.152,7.03,-20.59,88,50.7,-0.485,-17.19,-28.09,40,48.6
GBPUSD,donchian,"{""n"": 10}",-1.281,-61.29,-62.57,63,46.4,0.166,5.04,-15.32,29,50.5
GBPUSD,donchian,"{""n"": 20}",-0.757,-43.73,-51.22,33,48.3,0.147,4.23,-12.09,19,50.4
GBPUSD,donchian,"{""n"": 40}",-0.298,-21.83,-36.81,12,50.2,-0.315,-13.36,-23.38,16,49.2
GBPUSD,donchian,"{""n"": 55}",-0.604,-37.21,-47.05,12,48.9,0.017,-1.02,-20.12,8,49.8
GBPUSD,donchian,"{""n"": 80}",-0.845,-46.92,-51.95,12,48.1,-0.469,-18.53,-34.03,8,48.6
GBPUSD,ma_cross,"{""fast"": 5, ""slow"": 20}",-0.584,-36.35,-45.79,126,47.7,-0.063,-4.15,-15.5,69,48.8
GBPUSD,ma_cross,"{""fast"": 10, ""slow"": 50}",-0.093,-9.43,-22.64,50,50.2,0.384,14.61,-11.48,27,51.4
GBPUSD,ma_cross,"{""fast"": 20, ""slow"": 100}",0.231,14.13,-15.33,16,51.9,-0.114,-6.08,-17.29,14,50.3
GBPUSD,ma_cross,"{""fast"": 50, ""slow"": 200}",-0.203,-15.91,-27.54,12,49.0,-0.003,-1.83,-23.38,7,50.0
GBPUSD,ma_cross,"{""fast"": 10, ""slow"": 100}",-0.122,-11.27,-23.1,28,51.0,0.161,4.81,-12.68,18,51.6
GBPUSD,ma_cross,"{""fast"": 20, ""slow"": 50}",-0.496,-32.2,-39.62,47,49.6,0.04,-0.13,-13.63,24,50.7
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.115,-4.96,-16.06,104,42.9,-0.346,-8.25,-15.66,70,43.4
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.464,-19.03,-26.78,71,44.6,-0.244,-6.87,-14.07,52,46.3
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.176,-12.46,-26.28,241,43.9,-0.371,-12.94,-17.9,127,44.4
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.042,-5.5,-24.39,179,46.7,-0.08,-4.3,-16.51,101,47.1
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.119,-6.05,-22.72,116,43.8,-0.585,-14.68,-19.7,80,42.9
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.336,-16.2,-30.23,74,46.2,-0.413,-12.03,-19.4,57,45.9
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.424,-26.53,-34.77,299,44.3,-0.241,-9.99,-17.35,185,46.4
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.319,-22.15,-32.49,248,46.6,-0.146,-7.01,-17.52,163,48.3
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 2}",-0.172,-9.32,-22.45,132,43.5,-0.543,-14.94,-15.91,82,43.9
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 2}",-0.382,-20.13,-29.37,88,45.7,-0.282,-9.51,-14.04,61,46.7
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 2}",-0.554,-33.62,-45.3,359,45.3,-0.528,-19.48,-23.83,213,46.9
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 2}",-0.475,-30.7,-42.94,322,47.2,-0.468,-18.17,-22.95,199,48.6
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 5}",-0.118,-3.02,-6.63,45,40.6,-0.019,-0.35,-6.96,24,37.3
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.16,4.0,-6.48,44,45.7,-0.098,-1.59,-10.2,24,38.9
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 5}",0.145,5.63,-16.79,123,43.4,0.419,9.75,-10.55,71,41.8
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.284,14.26,-14.74,117,47.3,0.499,13.38,-12.63,70,44.8
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 5}",-0.534,-16.4,-21.18,76,41.9,-0.024,-0.7,-8.21,49,41.3
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 5}",-0.425,-15.33,-20.32,71,44.3,-0.554,-11.49,-13.26,45,41.8
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 5}",-0.145,-10.32,-24.91,192,45.0,-0.225,-7.72,-13.73,112,43.1
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 5}",-0.053,-5.8,-20.0,168,48.0,-0.267,-10.0,-15.75,99,45.3
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 5}",-0.368,-14.88,-21.24,99,43.8,-0.433,-9.94,-14.8,61,41.9
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.468,-20.45,-26.28,87,45.5,-0.57,-14.78,-17.39,55,44.0
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 5}",-0.248,-17.87,-26.07,235,47.2,-0.432,-15.98,-20.09,136,45.4
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.115,-10.56,-20.88,209,49.8,-0.5,-18.8,-24.55,117,47.2
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 14}",0.379,3.29,-2.44,7,42.6,0.0,-0.03,-1.9,6,46.3
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 14}",0.243,2.29,-3.14,7,41.0,-0.196,-1.19,-2.67,6,43.4
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 14}",0.256,6.06,-4.85,38,43.2,0.796,11.7,-3.07,26,46.9
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 14}",0.508,15.0,-5.24,34,45.9,0.788,13.25,-3.47,25,48.4
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 14}",-0.011,-0.46,-6.69,27,42.7,-0.123,-1.74,-4.88,22,45.3
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 14}",0.052,0.85,-5.41,26,44.2,-0.223,-3.38,-6.11,20,45.8
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 14}",0.189,7.51,-11.7,82,46.7,0.262,5.91,-5.9,54,46.7
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 14}",0.273,12.58,-9.81,76,47.6,0.202,4.71,-7.17,50,47.7
GBPUSD,vol_break,"{""hold"": 3, ""k"": 0.5}",-0.643,-36.55,-39.54,408,43.7,-1.482,-43.19,-45.39,265,43.6
GBPUSD,vol_break,"{""hold"": 5, ""k"": 0.5}",-0.567,-34.73,-39.16,367,46.1,-1.291,-40.4,-42.75,243,45.8
GBPUSD,vol_break,"{""hold"": 10, ""k"": 0.5}",-0.605,-37.14,-41.82,348,47.4,-1.404,-43.64,-45.23,235,46.6
GBPUSD,vol_break,"{""hold"": 3, ""k"": 1.0}",-0.376,-14.28,-20.61,142,39.2,-0.263,-6.15,-12.18,82,40.0
GBPUSD,vol_break,"{""hold"": 5, ""k"": 1.0}",-0.55,-24.89,-26.9,134,41.8,-0.113,-3.54,-15.28,78,44.7
GBPUSD,vol_break,"{""hold"": 10, ""k"": 1.0}",-0.91,-42.9,-44.99,119,43.8,0.27,7.96,-10.12,64,48.5
GBPUSD,vol_break,"{""hold"": 3, ""k"": 1.5}",0.265,4.91,-5.12,27,40.9,-0.319,-3.91,-10.81,15,37.3
GBPUSD,vol_break,"{""hold"": 5, ""k"": 1.5}",-0.215,-7.08,-12.6,27,43.9,-0.185,-2.7,-10.27,15,43.8
GBPUSD,vol_break,"{""hold"": 10, ""k"": 1.5}",-0.304,-11.15,-15.57,27,44.2,0.033,0.25,-9.97,13,46.6
GBPUSD,momentum,"{""hold"": 5, ""look"": 10}",-0.682,-40.69,-55.49,298,47.3,-0.55,-21.15,-25.21,163,45.9
GBPUSD,momentum,"{""hold"": 10, ""look"": 10}",-0.294,-21.62,-36.04,296,49.1,-0.413,-16.7,-29.92,164,47.6
GBPUSD,momentum,"{""hold"": 20, ""look"": 10}",-0.555,-35.0,-49.38,295,49.2,-0.147,-7.32,-19.03,163,51.2
GBPUSD,momentum,"{""hold"": 5, ""look"": 20}",-0.434,-29.17,-33.53,180,48.8,-0.222,-10.05,-15.36,103,48.6
GBPUSD,momentum,"{""hold"": 10, ""look"": 20}",-0.333,-23.78,-28.08,179,49.5,0.044,0.05,-16.63,104,50.2
GBPUSD,momentum,"{""hold"": 20, ""look"": 20}",-0.298,-21.87,-36.35,179,50.4,-0.223,-10.11,-19.17,102,50.8
GBPUSD,momentum,"{""hold"": 5, ""look"": 60}",-0.138,-12.31,-30.42,90,51.0,-0.076,-4.66,-16.95,63,50.0
GBPUSD,momentum,"{""hold"": 10, ""look"": 60}",0.251,15.83,-17.93,90,50.9,-0.074,-4.58,-18.19,60,50.7
GBPUSD,momentum,"{""hold"": 20, ""look"": 60}",-0.311,-22.49,-36.83,90,50.6,-0.368,-15.2,-29.93,59,49.8
GBPUSD,momentum,"{""hold"": 5, ""look"": 120}",-0.214,-16.79,-37.7,48,49.2,-0.287,-12.38,-28.96,62,49.4
GBPUSD,momentum,"{""hold"": 10, ""look"": 120}",-0.222,-17.22,-25.13,48,48.7,-0.569,-21.75,-35.34,62,48.9
GBPUSD,momentum,"{""hold"": 20, ""look"": 120}",0.152,7.85,-25.52,48,50.7,-0.248,-11.0,-27.49,61,49.9
USDJPY,donchian,"{""n"": 10}",-0.074,-7.01,-30.03,44,48.9,0.316,13.21,-17.08,28,51.3
USDJPY,donchian,"{""n"": 20}",0.111,4.58,-17.54,26,49.6,0.295,12.13,-13.82,16,51.6
USDJPY,donchian,"{""n"": 40}",0.292,17.34,-21.56,14,49.2,-0.865,-34.81,-45.62,16,49.0
USDJPY,donchian,"{""n"": 55}",0.264,15.27,-18.58,12,49.4,-0.291,-14.77,-32.31,9,49.9
USDJPY,ma_cross,"{""fast"": 5, ""slow"": 20}",-0.458,-27.17,-37.75,129,47.6,0.905,49.0,-10.7,54,53.8
USDJPY,ma_cross,"{""fast"": 10, ""slow"": 50}",-0.057,-6.02,-20.71,53,48.2,-0.012,-2.88,-16.57,30,51.3
USDJPY,ma_cross,"{""fast"": 20, ""slow"": 100}",0.195,10.23,-20.6,26,48.8,0.089,1.82,-18.95,12,52.0
USDJPY,ma_cross,"{""fast"": 50, ""slow"": 200}",-0.046,-4.88,-23.06,8,49.9,-0.436,-20.35,-38.37,8,52.1
USDJPY,ma_cross,"{""fast"": 10, ""slow"": 100}",0.149,7.08,-23.86,30,48.6,0.48,22.23,-11.84,16,53.0
USDJPY,ma_cross,"{""fast"": 20, ""slow"": 50}",0.125,5.55,-24.35,48,48.7,-0.209,-11.42,-20.2,29,50.6
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.531,-16.71,-18.5,78,42.8,-0.111,-3.95,-19.09,72,47.5
