pair,family,params,train_sharpe,train_ret,train_dd,train_trades,train_wr,oos_sharpe,oos_ret,oos_dd,oos_trades,oos_wr,K_configs_tried,control_oos_p95,control_oos_best,control_oos_median,beats_noise,train_oos_decay,verdict,rank_by_oos,usdjpy_buyhold_oos_sharpe,beats_buyhold,train_oos_corr_all_K,expected_above_p95_by_chance,observed_above_p95,notes
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 5}",-0.251,-13.94,-20.29,175,48.2,-0.507,-15.4,-22.04,101,46.3,258,0.514,0.905,-0.225,False,0.256,NOISE,180,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 5}",-0.338,-14.45,-19.04,65,44.0,-0.512,-10.73,-12.8,43,41.8,258,0.514,0.905,-0.225,False,0.174,NOISE,181,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 30, ""n"": 5}",-0.2,-9.99,-23.68,101,44.2,-0.512,-11.71,-18.84,60,41.1,258,0.514,0.905,-0.225,False,0.312,NOISE,181,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,ma_cross,"{""fast"": 10, ""slow"": 100}",-0.216,-17.9,-32.33,34,50.1,-0.514,-24.32,-32.8,20,48.3,258,0.514,0.905,-0.225,False,0.298,NOISE,183,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 5}",-0.341,-12.61,-24.25,69,43.6,-0.526,-14.72,-25.2,44,44.9,258,0.514,0.905,-0.225,False,0.185,NOISE,184,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.307,-11.44,-17.72,110,42.9,-0.529,-12.1,-15.69,72,40.2,258,0.514,0.905,-0.225,False,0.222,NOISE,185,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.303,-16.27,-32.21,74,45.8,-0.53,-14.43,-20.53,61,44.7,258,0.514,0.905,-0.225,False,0.227,NOISE,186,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 14}",-0.324,-7.23,-14.33,26,44.5,-0.532,-9.97,-12.87,20,40.0,258,0.514,0.905,-0.225,False,0.208,NOISE,187,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 5}",-0.161,-10.56,-19.82,235,48.7,-0.539,-17.15,-23.89,137,45.8,258,0.514,0.905,-0.225,False,0.378,NOISE,188,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,ma_cross,"{""fast"": 50, ""slow"": 200}",-0.242,-14.83,-25.58,10,50.2,-0.54,-18.81,-33.81,8,48.5,258,0.514,0.905,-0.225,False,0.298,NOISE,189,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,momentum,"{""hold"": 5, ""look"": 10}",-0.718,-42.19,-54.98,303,47.5,-0.541,-20.85,-25.59,157,46.2,258,0.514,0.905,-0.225,False,-0.177,NOISE,190,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,donchian,"{""n"": 55}",-0.39,-26.8,-37.99,12,49.5,-0.545,-20.96,-37.05,8,48.5,258,0.514,0.905,-0.225,False,0.155,NOISE,191,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,momentum,"{""hold"": 5, ""look"": 120}",-0.275,-20.3,-38.35,58,48.9,-0.549,-21.12,-36.8,70,47.6,258,0.514,0.905,-0.225,False,0.274,NOISE,192,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.338,8.3,-4.09,35,47.2,-0.55,-7.71,-14.43,20,36.8,258,0.514,0.905,-0.225,False,0.888,NOISE,193,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,momentum,"{""hold"": 10, ""look"": 10}",-0.385,-26.52,-36.03,301,49.0,-0.551,-21.16,-28.48,158,47.5,258,0.514,0.905,-0.225,False,0.166,NOISE,194,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,vol_break,"{""hold"": 10, ""k"": 1.5}",-0.035,-1.64,-15.67,35,43.2,-0.557,-8.33,-11.69,17,42.2,258,0.514,0.905,-0.225,False,0.522,NOISE,195,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.35,-10.48,-13.32,90,41.7,-0.559,-11.65,-15.68,58,39.1,258,0.514,0.905,-0.225,False,0.209,NOISE,196,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 2}",-0.657,-39.09,-45.17,319,46.6,-0.562,-21.15,-25.56,193,49.0,258,0.514,0.905,-0.225,False,-0.095,NOISE,197,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
