unit_id,delta_mean,delta_sum,n_trades,deviated,block,first_entry
24,3.4965086381788522e-15,1.7482543190894262e-14,5,False,2,2017-01-03
25,4.163336342344337e-16,1.6653345369377348e-15,4,False,2,2017-02-03
26,1.7937040741600185e-15,1.7937040741600185e-15,1,False,2,2017-03-02
27,-1.5321077739827161e-15,-7.66053886991358e-15,5,False,2,2017-03-03
28,-5.095923683029468e-15,-2.5479618415147343e-14,5,False,2,2017-04-04
29,-2.2320108724234916e-16,-6.696032617270475e-16,3,False,2,2017-05-03
30,4.181840059421423e-15,1.2545520178264269e-14,3,False,2,2017-06-05
31,1.5432100042289676e-15,7.716050021144838e-15,5,False,2,2017-07-04
32,-2.220446049250313e-16,-6.661338147750939e-16,3,False,2,2017-08-03
33,-9.329342853803268e-16,-4.664671426901634e-15,5,False,2,2017-09-04
34,-1.8388068845354155e-15,-7.355227538141662e-15,4,False,2,2017-10-03
35,-2.192690473634684e-15,-4.385380947269368e-15,2,False,2,2017-11-02
36,-4.718447854656915e-16,-9.43689570931383e-16,2,False,2,2017-12-04
37,-2.456368441983159e-15,-9.825473767932635e-15,4,False,2,2018-01-02
38,-1.887379141862766e-15,-3.774758283725532e-15,2,False,2,2018-02-05
39,-4.551914400963142e-15,-4.551914400963142e-15,1,False,2,2018-03-05
40,3.1271281860275244e-15,9.381384558082573e-15,3,False,2,2018-05-03
41,-4.9873299934333204e-15,-4.9873299934333204e-15,1,False,2,2018-06-04
42,1.0408340855860843e-15,4.163336342344337e-15,4,False,2,2018-06-05
43,-1.5390466678866233e-15,-7.695233339433116e-15,5,False,2,2018-07-03
44,-8.843620280529763e-15,-8.843620280529763e-15,1,False,2,2018-08-02
45,-4.926614671774132e-16,-1.970645868709653e-15,4,False,2,2018-08-03
46,1.0269562977782698e-15,4.107825191113079e-15,4,False,2,2018-09-04
47,0.14677376734034703,0.5870950693613881,4,True,3,2018-10-02
48,0.1799621137677633,0.7198484550710532,4,True,3,2018-11-02
49,-4.029184393535464e-15,-1.2087553180606392e-14,3,False,3,2018-12-04
50,-8.614636781700824e-15,-1.7229273563401648e-14,2,False,3,2019-01-02
51,6.328271240363392e-15,2.531308496145357e-14,4,False,3,2019-01-03
52,-4.087659030704849e-15,-8.175318061409698e-15,2,False,3,2019-02-04
53,-0.25335098087552993,-0.7600529426265898,3,True,3,2019-02-05
54,-1.2025103135471227e-14,-1.2025103135471227e-14,1,False,3,2019-03-04
55,0.44177974824130056,2.208898741206503,5,True,3,2019-03-05
56,0.02328289360784734,0.09313157443138936,4,True,3,2019-04-02
57,0.027308194475551495,0.16384916685330897,6,True,3,2019-05-02
58,0.06723546715389846,0.2689418686155938,4,True,3,2019-06-04
59,-1.4155343563970746e-15,-1.4155343563970746e-15,1,False,3,2019-07-02
60,-0.017359804960689368,-0.06943921984275747,4,True,3,2019-07-03
61,-1.3877787807814457e-15,-4.163336342344337e-15,3,False,3,2019-08-05
62,-2.1094237467877974e-15,-2.1094237467877974e-15,1,False,3,2019-09-03
63,4.713894205532476e-15,4.713894205532476e-15,1,False,3,2019-11-04
64,0.16233752589862988,0.6493501035945195,4,True,3,2019-11-05
65,4.510281037539698e-16,1.8041124150158794e-15,4,False,3,2019-12-03
66,-4.577935253102794e-15,-4.577935253102794e-15,1,False,3,2020-01-02
67,-0.22225074824040048,-0.8890029929616019,4,True,3,2020-01-03
68,0.15680851055004427,0.4704255316501328,3,True,3,2020-02-04
69,-8.881784197001252e-16,-8.881784197001252e-16,1,False,3,2020-03-11
70,0.359527239194825,1.4381089567793,4,True,3,2020-04-02
71,-0.06913887825876476,-0.27655551303505904,4,True,3,2020-05-05
72,-6.841749389252527e-15,-6.841749389252527e-15,1,False,4,2021-04-02
73,-0.1411575693703958,-0.4234727081111874,3,True,4,2021-04-05
74,1.6286351714196357,1.6286351714196357,1,True,4,2021-05-04
75,-4.80287106382112e-15,-1.440861319146336e-14,3,False,4,2021-06-02
76,-0.053019682664871885,-0.15905904799461565,3,True,4,2021-06-03
77,-1.465841337200402e-14,-1.465841337200402e-14,1,False,4,2021-07-02
78,-0.07259912860240485,-0.21779738580721453,3,True,4,2021-07-05
79,5.495603971894525e-15,5.495603971894525e-15,1,False,4,2021-08-03
80,-0.09743936102144912,-0.29231808306434737,3,True,4,2021-09-03
81,-3.58046925441613e-15,-3.58046925441613e-15,1,False,4,2021-11-02
82,0.5682170451299905,1.7046511353899714,3,True,4,2021-11-03
83,-0.33131919261871223,-0.9939575778561367,3,True,4,2022-01-04
84,1.7639969346339157e-15,3.5279938692678314e-15,2,False,4,2022-03-02
85,0.18970872297310115,0.9485436148655058,5,True,4,2022-03-03
86,-4.413136522884997e-15,-4.413136522884997e-15,1,False,4,2022-04-04
87,5.773159728050814e-15,5.773159728050814e-15,1,False,4,2022-04-05
88,0.07400902642042888,0.2960361056817155,4,True,4,2022-05-03
89,-0.2017311277499671,-0.8069245109998684,4,True,4,2022-06-03
90,-9.783840404509192e-16,-9.783840404509192e-16,1,False,4,2022-07-04
91,-0.798872979377903,-3.195491917511612,4,True,4,2022-07-05
92,-0.6749934684923985,-2.699973873969594,4,True,4,2022-08-02
93,0.3158214612989449,1.2632858451957796,4,True,4,2022-09-02
94,-0.20949354622061436,-1.2569612773236862,6,True,4,2022-10-04
95,-1.1317923933962988,-4.527169573585195,4,True,4,2022-11-02
96,2.108867168878982,2.108867168878982,1,True,4,2022-12-02
97,0.05923206296837852,0.23692825187351407,4,True,4,2023-01-03
98,-0.4880292779083968,-0.4880292779083968,1,True,4,2023-02-03
