unit_id,delta_mean,delta_sum,n_trades,deviated,block,first_entry
24,0.47061619778671276,2.3530809889335638,5,True,2,2017-01-03
25,-0.2178548659895293,-0.8714194639581172,4,True,2,2017-02-03
26,1.7937040741600185e-15,1.7937040741600185e-15,1,False,2,2017-03-02
27,-0.09667338242451265,-0.4833669121225632,5,True,2,2017-03-03
28,-0.34870261792124463,-1.7435130896062232,5,True,2,2017-04-04
29,0.2284108570981969,0.6852325712945907,3,True,2,2017-05-03
30,0.013745913382255948,0.04123774014676784,3,True,2,2017-06-05
31,-0.014824917023356487,-0.07412458511678244,5,True,2,2017-07-04
32,-0.13517129883488455,-0.40551389650465364,3,True,2,2017-08-03
33,-0.2741811285097423,-1.3709056425487114,5,True,2,2017-09-04
34,-0.16042051110835132,-0.6416820444334053,4,True,2,2017-10-03
35,-0.12207443302331483,-0.24414886604662966,2,True,2,2017-11-02
36,0.16018277363301978,0.32036554726603955,2,True,2,2017-12-04
37,0.08790003629635164,0.35160014518540655,4,True,2,2018-01-02
38,-0.25808170808251785,-0.5161634161650357,2,True,2,2018-02-05
39,0.4468309999838729,0.4468309999838729,1,True,2,2018-03-05
40,-0.03459671437548342,-0.10379014312645027,3,True,2,2018-05-03
41,-4.9873299934333204e-15,-4.9873299934333204e-15,1,False,2,2018-06-04
42,-0.2944553380902335,-1.177821352360934,4,True,2,2018-06-05
43,0.05607950574250862,0.2803975287125431,5,True,2,2018-07-03
44,-8.843620280529763e-15,-8.843620280529763e-15,1,False,2,2018-08-02
45,0.012177495728897175,0.0487099829155887,4,True,2,2018-08-03
46,0.22674747809661244,0.9069899123864498,4,True,2,2018-09-04
47,0.3021038542902956,1.2084154171611825,4,True,3,2018-10-02
48,0.04411980353420958,0.1764792141368383,4,True,3,2018-11-02
49,-0.34796665483485323,-1.0438999645045597,3,True,3,2018-12-04
50,-8.614636781700824e-15,-1.7229273563401648e-14,2,False,3,2019-01-02
51,0.22638421801535466,0.9055368720614186,4,True,3,2019-01-03
52,-4.087659030704849e-15,-8.175318061409698e-15,2,False,3,2019-02-04
53,-0.22855735528736687,-0.6856720658621006,3,True,3,2019-02-05
54,-1.2025103135471227e-14,-1.2025103135471227e-14,1,False,3,2019-03-04
55,0.18478812627113914,0.9239406313556957,5,True,3,2019-03-05
56,0.1574522474271586,0.6298089897086344,4,True,3,2019-04-02
57,-0.05731917174842004,-0.34391503049052025,6,True,3,2019-05-02
58,0.05928757737532231,0.23715030950128924,4,True,3,2019-06-04
59,-1.4155343563970746e-15,-1.4155343563970746e-15,1,False,3,2019-07-02
60,0.387678187447994,1.550712749791976,4,True,3,2019-07-03
61,-0.14861425493736205,-0.4458427648120862,3,True,3,2019-08-05
62,-0.5443595648115558,-0.5443595648115558,1,True,3,2019-09-03
63,4.713894205532476e-15,4.713894205532476e-15,1,False,3,2019-11-04
64,0.18103538202765754,0.7241415281106302,4,True,3,2019-11-05
65,0.03771609659902231,0.15086438639608923,4,True,3,2019-12-03
66,-4.577935253102794e-15,-4.577935253102794e-15,1,False,3,2020-01-02
67,-0.2040927295900731,-0.8163709183602924,4,True,3,2020-01-03
68,0.6634143296568157,1.9902429889704472,3,True,3,2020-02-04
69,-2.8105852190911493,-2.8105852190911493,1,True,3,2020-03-11
70,1.0843684967338736,4.337473986935494,4,True,3,2020-04-02
71,-0.22030727794727276,-0.881229111789091,4,True,3,2020-05-05
72,-6.841749389252527e-15,-6.841749389252527e-15,1,False,4,2021-04-02
73,0.13572708555580174,0.40718125666740523,3,True,4,2021-04-05
74,1.7056532256986137,1.7056532256986137,1,True,4,2021-05-04
75,-4.80287106382112e-15,-1.440861319146336e-14,3,False,4,2021-06-02
76,0.08754118815569069,0.2626235644670721,3,True,4,2021-06-03
77,-1.465841337200402e-14,-1.465841337200402e-14,1,False,4,2021-07-02
78,-0.2954482761705146,-0.8863448285115438,3,True,4,2021-07-05
79,0.07344412459393318,0.07344412459393318,1,True,4,2021-08-03
80,-0.04944797512039456,-0.14834392536118368,3,True,4,2021-09-03
81,-3.58046925441613e-15,-3.58046925441613e-15,1,False,4,2021-11-02
82,0.38981632399312555,1.1694489719793766,3,True,4,2021-11-03
83,-0.008125652253316887,-0.024376956759950663,3,True,4,2022-01-04
84,1.7639969346339157e-15,3.5279938692678314e-15,2,False,4,2022-03-02
85,-0.24562107259516894,-1.2281053629758447,5,True,4,2022-03-03
86,-4.413136522884997e-15,-4.413136522884997e-15,1,False,4,2022-04-04
87,0.384329001132524,0.384329001132524,1,True,4,2022-04-05
88,0.19362047983473019,0.7744819193389207,4,True,4,2022-05-03
89,-0.05396256941178228,-0.2158502776471291,4,True,4,2022-06-03
90,-9.783840404509192e-16,-9.783840404509192e-16,1,False,4,2022-07-04
91,-0.6073351651975003,-2.429340660790001,4,True,4,2022-07-05
92,-0.8349241960687188,-3.3396967842748753,4,True,4,2022-08-02
93,-0.21231714078042818,-0.8492685631217127,4,True,4,2022-09-02
94,-0.4250392434616453,-2.550235460769872,6,True,4,2022-10-04
95,-1.9010901716052657,-7.604360686421063,4,True,4,2022-11-02
96,1.6589389737273201,1.6589389737273201,1,True,4,2022-12-02
97,-0.6890827320228108,-2.756330928091243,4,True,4,2023-01-03
98,-0.03392375997484365,-0.03392375997484365,1,True,4,2023-02-03
99,-0.07745022572147875,-0.1549004514429575,2,True,5,2023-03-03
100,-0.6701580612224347,-0.6701580612224347,1,True,5,2023-04-04
101,-0.3282581305744193,-1.3130325222976773,4,True,5,2023-05-02
102,-0.1739826352122463,-0.8699131760612315,5,True,5,2023-06-02
103,-0.7121452401342792,-3.560726200671396,5,True,5,2023-07-04
104,-0.5811869474466719,-2.9059347372333595,5,True,5,2023-08-02
105,-0.05978221644612239,-0.23912886578448955,4,True,5,2023-09-04
106,0.14419383659457613,0.5767753463783045,4,True,5,2023-10-03
107,0.5214819778081121,1.5644459334243364,3,True,5,2023-11-02
108,0.9309388848461588,3.7237555393846353,4,True,5,2023-12-04
109,0.1846068453132714,0.7384273812530856,4,True,5,2024-01-03
110,0.1563085619887151,0.6252342479548604,4,True,5,2024-02-05
111,-0.3702405573463052,-1.4809622293852207,4,True,5,2024-03-04
112,0.0,0.0,1,False,5,2024-04-02
113,-0.17461237724051556,-0.6984495089620623,4,True,5,2024-04-03
114,-5.169475958410885e-15,-5.169475958410885e-15,1,False,5,2024-05-02
115,0.11855586852430938,0.47422347409723753,4,True,5,2024-05-03
116,-0.6915784719960596,-2.7663138879842384,4,True,5,2024-06-04
117,-0.6615985881662712,-2.6463943526650846,4,True,5,2024-07-03
118,-0.5914518991828628,-2.365807596731451,4,True,5,2024-09-03
119,-0.6474890251843615,-0.6474890251843615,1,True,5,2024-10-03
120,0.31838585468149083,1.2735434187259633,4,True,5,2024-12-03
