event_date,release_name,importance,symbol,horizon,session_date,session_weekday,metric,value
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-11,Thursday,range_pct,0.032557293561295005
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-11,Thursday,realized_vol,0.02161646441874695
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-12,Friday,ret,0.0016477480776273534
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-12,Friday,abs_ret,0.0016477480776273534
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-12,Friday,range_pct,0.011717319663127071
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-12,Friday,realized_vol,0.010321603178693394
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-16,Tuesday,ret,0.025081788440566966
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-16,Tuesday,abs_ret,0.025081788440566966
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-16,Tuesday,range_pct,0.03507815339876408
2024-01-11,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-16,Tuesday,realized_vol,0.014624585923514738
2024-01-12,Producer Price Index,0.6,NVDA,0,2024-01-12,Friday,ret,0.0016477480776273534
2024-01-12,Producer Price Index,0.6,NVDA,0,2024-01-12,Friday,abs_ret,0.0016477480776273534
2024-01-12,Producer Price Index,0.6,NVDA,0,2024-01-12,Friday,range_pct,0.011717319663127071
2024-01-12,Producer Price Index,0.6,NVDA,0,2024-01-12,Friday,realized_vol,0.010321603178693394
2024-01-12,Producer Price Index,0.6,NVDA,1,2024-01-16,Tuesday,ret,0.025081788440566966
2024-01-12,Producer Price Index,0.6,NVDA,1,2024-01-16,Tuesday,abs_ret,0.025081788440566966
2024-01-12,Producer Price Index,0.6,NVDA,1,2024-01-16,Tuesday,range_pct,0.03507815339876408
2024-01-12,Producer Price Index,0.6,NVDA,1,2024-01-16,Tuesday,realized_vol,0.014624585923514738
2024-01-12,Producer Price Index,0.6,NVDA,2,2024-01-17,Wednesday,ret,-0.0053238686779060185
2024-01-12,Producer Price Index,0.6,NVDA,2,2024-01-17,Wednesday,abs_ret,0.0053238686779060185
2024-01-12,Producer Price Index,0.6,NVDA,2,2024-01-17,Wednesday,range_pct,0.030700976042590894
2024-01-12,Producer Price Index,0.6,NVDA,2,2024-01-17,Wednesday,realized_vol,0.014541509725547736
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-18,Thursday,ret,-0.002793783830976171
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-18,Thursday,abs_ret,0.002793783830976171
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-18,Thursday,range_pct,0.026017111925964762
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-18,Thursday,realized_vol,0.016540775895506548
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-19,Friday,ret,0.02639296187683282
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-19,Friday,abs_ret,0.02639296187683282
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-19,Friday,range_pct,0.039158185268242246
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-19,Friday,realized_vol,0.013700366241862397
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-22,Monday,ret,-0.006328059950041598
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-22,Monday,abs_ret,0.006328059950041598
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-22,Monday,range_pct,0.02098251457119064
2024-01-18,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-22,Monday,realized_vol,0.018788071957083194
2024-01-25,Gross Domestic Product,0.6,NVDA,0,2024-01-25,Thursday,ret,-0.011228745588707123
2024-01-25,Gross Domestic Product,0.6,NVDA,0,2024-01-25,Thursday,abs_ret,0.011228745588707123
2024-01-25,Gross Domestic Product,0.6,NVDA,0,2024-01-25,Thursday,range_pct,0.029996791786974612
2024-01-25,Gross Domestic Product,0.6,NVDA,0,2024-01-25,Thursday,realized_vol,0.019954370103818744
2024-01-25,Gross Domestic Product,0.6,NVDA,1,2024-01-26,Friday,ret,0.0011482939632545541
2024-01-25,Gross Domestic Product,0.6,NVDA,1,2024-01-26,Friday,abs_ret,0.0011482939632545541
2024-01-25,Gross Domestic Product,0.6,NVDA,1,2024-01-26,Friday,range_pct,0.01984908136482941
2024-01-25,Gross Domestic Product,0.6,NVDA,1,2024-01-26,Friday,realized_vol,0.016385333468297084
2024-01-25,Gross Domestic Product,0.6,NVDA,2,2024-01-29,Monday,ret,0.019918367346938748
2024-01-25,Gross Domestic Product,0.6,NVDA,2,2024-01-29,Monday,abs_ret,0.019918367346938748
2024-01-25,Gross Domestic Product,0.6,NVDA,2,2024-01-29,Monday,range_pct,0.025795918367347025
2024-01-25,Gross Domestic Product,0.6,NVDA,2,2024-01-29,Monday,realized_vol,0.010924400177708711
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-25,Thursday,ret,-0.011228745588707123
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-25,Thursday,abs_ret,0.011228745588707123
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-25,Thursday,range_pct,0.029996791786974612
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-25,Thursday,realized_vol,0.019954370103818744
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-26,Friday,ret,0.0011482939632545541
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-26,Friday,abs_ret,0.0011482939632545541
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-26,Friday,range_pct,0.01984908136482941
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-26,Friday,realized_vol,0.016385333468297084
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-29,Monday,ret,0.019918367346938748
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-29,Monday,abs_ret,0.019918367346938748
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-29,Monday,range_pct,0.025795918367347025
2024-01-25,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-29,Monday,realized_vol,0.010924400177708711
2024-01-26,Personal Income and Outlays,1.0,NVDA,0,2024-01-26,Friday,ret,0.0011482939632545541
2024-01-26,Personal Income and Outlays,1.0,NVDA,0,2024-01-26,Friday,abs_ret,0.0011482939632545541
