date,weekday,ret,abs_ret,range_pct,fh_abs_ret,sh_abs_ret
2016-01-04,Monday,-0.0026423690205011896,0.0026423690205011896,0.0030979498861048145,0.0006378132118450841,0.002096818306135506
2016-01-05,Tuesday,0.0012760915139913287,0.0012760915139913287,0.0023698842402698488,0.00036459757542628424,0.0008199708454810217
2016-01-06,Wednesday,0.018258034466697826,0.018258034466697826,0.019562179785747636,0.0009315323707498324,0.019302499067512136
2016-01-07,Thursday,0.003985576010628211,0.003985576010628211,0.005124312013664892,0.0013285253368759964,0.002748554639370626
2016-01-08,Friday,-0.0003776435045317328,0.0003776435045317328,0.007836102719033351,0.000944108761329332,0.0016030174446016732
2016-01-11,Monday,0.0005734492975246752,0.0005734492975246752,0.0019114976584153956,0.0010513237121283492,0.000286642461303277
2016-01-12,Tuesday,0.00037954265110551333,0.00037954265110551333,0.0017079419299744457,0.0010437422905399396,0.0009493971328207174
2016-01-13,Wednesday,-0.0002827521206408834,0.0002827521206408834,0.0018850141376060589,0.0006597549481621723,0.0007536504945832023
2016-01-14,Thursday,0.00215306322176545,0.00215306322176545,0.003425327852808713,0.001076531610882725,0.001173249902229223
2016-01-15,Friday,-0.008432199235219096,0.008432199235219096,0.012648298852828631,0.005980978527306613,0.00266272189349126
2016-01-19,Tuesday,0.0002928257686676261,0.0002928257686676261,0.0018545632015617153,0.0009760858955587537,0.0007800312012480326
2016-01-20,Wednesday,0.0024171618491286573,0.0024171618491286573,0.004532178467116556,0.0011078658475174308,0.0020134903855835162
2016-01-21,Thursday,0.002075303883783075,0.002075303883783075,0.009289455479790472,0.004743551734361251,0.002949852507374562
2016-01-22,Friday,-0.0021411192214111363,0.0021411192214111363,0.003309002433089919,0.0,0.0016553067185979264
2016-01-25,Monday,-0.0023217567959756824,0.0023217567959756824,0.002805456128470603,0.0012576182644868927,0.0007751186900494256
2016-01-26,Tuesday,0.0007807163072117707,0.0007807163072117707,0.002439738460037084,0.0017566116912268726,0.0010714981492304654
2016-01-27,Wednesday,0.0,0.0,0.0017528483786153162,0.00048690232739301287,0.0
2016-01-28,Thursday,0.004629173643258211,0.004629173643258211,0.013986013986014003,0.00256081946222797,0.007109004739336511
2016-01-29,Friday,0.0026535626535626466,0.0026535626535626466,0.004029484029483996,0.0008845208845209562,0.001767478397486144
2016-02-01,Monday,0.001063418406805905,0.001063418406805905,0.002610208816705298,0.0019334880123742515,0.000675545261532573
2016-02-02,Tuesday,-0.0008665511265164572,0.0008665511265164572,0.006643558636626206,0.001059118043520213,0.0018276260100038577
2016-02-03,Wednesday,0.003124084740798505,0.003124084740798505,0.00468612711119793,0.0026359465000487248,0.0004868549172345471
2016-02-04,Thursday,-0.0024676734774454756,0.0024676734774454756,0.005527588589477862,0.0005922416345869319,0.0017779533781113743
2016-02-05,Friday,-0.004239376910184389,0.004239376910184389,0.009267475105984399,0.0025633441782511035,0.0015816528272043495
2016-02-08,Monday,0.0025995632733699647,0.0025995632733699647,0.0033274409899136234,0.0013517729021523817,0.0012461059190032042
2016-02-09,Tuesday,-0.0043827611395179655,0.0043827611395179655,0.005321924240843213,0.002608786392570228,0.0016741655331170557
2016-02-10,Wednesday,-0.0025533653355122032,0.0025533653355122032,0.004902461444183474,0.002042692268409807,0.0002047502047503036
2016-02-11,Thursday,0.0006300535545522568,0.0006300535545522568,0.0037803213273128154,0.0028352409954846003,0.002198952879581051
2016-02-12,Friday,0.0014353085913472174,0.0014353085913472174,0.0041008816895631685,0.0024605290137378333,0.0009205277692542202
2016-02-16,Tuesday,-0.0005033725963958791,0.0005033725963958791,0.0029195610590960056,0.0015101177891875261,0.001412144442203056
2016-02-17,Wednesday,0.00039635354736411443,0.00039635354736411443,0.0015854141894571026,0.0005945303210463937,9.90589400693409e-05
