date,weekday,stmt_ret,stmt_abs_ret,presser_ret,presser_abs_ret
2015-12-31,Thursday,,,,
2016-01-04,Monday,-0.0008503826722023877,0.0008503826722023877,-0.00197579031612638,0.00197579031612638
2016-01-05,Tuesday,-0.0004933200589003484,0.0004933200589003484,-0.0008676682036790062,0.0008676682036790062
2016-01-06,Wednesday,0.001107029638202528,0.001107029638202528,-0.00010050251256288334,0.00010050251256288334
2016-01-07,Thursday,-0.0008227067050596837,0.0008227067050596837,-0.0001545595054095461,0.0001545595054095461
2016-01-08,Friday,0.0016504203414309249,0.0016504203414309249,0.0006212497413615736,0.0006212497413615736
2016-01-11,Monday,0.0013145441161004356,0.0013145441161004356,-0.0004601307189542325,0.0004601307189542325
2016-01-12,Tuesday,-0.0023453379892636184,0.0023453379892636184,0.0023980815347721673,0.0023980815347721673
2016-01-13,Wednesday,-0.00010507512871704705,0.00010507512871704705,-0.006205300799326907,0.006205300799326907
2016-01-14,Thursday,-0.0013264669163545184,0.0013264669163545184,0.001144283782378075,0.001144283782378075
2016-01-15,Friday,-0.0009083137422525311,0.0009083137422525311,0.0002143507850596027,0.0002143507850596027
2016-01-19,Tuesday,-0.0005323679727426978,0.0005323679727426978,0.00042769313017898547,0.00042769313017898547
2016-01-20,Wednesday,-0.0026614523925914124,0.0026614523925914124,-0.0008153946510111032,0.0008153946510111032
2016-01-21,Thursday,-0.00037373198077961245,0.00037373198077961245,0.0008583690987125081,0.0008583690987125081
2016-01-22,Friday,-0.0004884453781514031,0.0004884453781514031,-0.00010512483574254272,0.00010512483574254272
2016-01-25,Monday,-0.00015860428231562196,0.00015860428231562196,-0.00042272126816389477,0.00042272126816389477
2016-01-26,Tuesday,-0.0012101441650004263,0.0012101441650004263,0.00021090372245069489,0.00021090372245069489
2016-01-27,Wednesday,-0.000891286133221536,0.000891286133221536,-0.00021054847878720917,0.00021054847878720917
2016-01-28,Thursday,0.003656597774244874,0.003656597774244874,-0.00010545742156609084,0.00010545742156609084
2016-01-29,Friday,-0.0007531293824339924,0.0007531293824339924,-0.00010372905969613377,0.00010372905969613377
2016-02-01,Monday,0.00015526343028682277,0.00015526343028682277,5.169828878659466e-05,5.169828878659466e-05
2016-02-02,Tuesday,0.00028934424073434606,0.00028934424073434606,0.0011582605033169102,0.0011582605033169102
2016-02-03,Wednesday,0.0019682421469797706,0.0019682421469797706,-0.00020997375328080103,0.00020997375328080103
2016-02-04,Thursday,-0.002041029935105798,0.002041029935105798,0.000537613259378622,0.000537613259378622
2016-02-05,Friday,5.3140610054125403e-05,5.3140610054125403e-05,0.0017324093816633024,0.0017324093816633024
2016-02-08,Monday,0.0026767180159510406,0.0026767180159510406,-0.0011462256427051676,0.0011462256427051676
2016-02-09,Tuesday,0.0005423581733376981,0.0005423581733376981,0.0018953752843062777,0.0018953752843062777
2016-02-10,Wednesday,0.0003212163392045664,0.0003212163392045664,0.0002139723975607133,0.0002139723975607133
2016-02-11,Thursday,-0.00028572213522348733,0.00028572213522348733,0.00011022927689596784,0.00011022927689596784
2016-02-12,Friday,0.00029655990510080166,0.00029655990510080166,-0.00019990628049637582,0.00019990628049637582
2016-02-16,Tuesday,0.0007917656373712667,0.0007917656373712667,-0.0003426462836056965,0.0003426462836056965
2016-02-17,Wednesday,0.0009813593644529828,0.0009813593644529828,-0.0005179736869366236,0.0005179736869366236
2016-02-18,Thursday,0.0005727973338889303,0.0005727973338889303,0.0007793827288786748,0.0007793827288786748
2016-02-19,Friday,-0.00010426985037281788,0.00010426985037281788,-0.0006772326781711024,0.0006772326781711024
2016-02-22,Monday,-0.0003464247680878829,0.0003464247680878829,-0.0006681400010278837,0.0006681400010278837
2016-02-23,Tuesday,0.0,0.0,0.00020792295339777667,0.00020792295339777667
2016-02-24,Wednesday,-0.00020916126333414553,0.00020916126333414553,-0.00021049896049896155,0.00021049896049896155
2016-02-25,Thursday,-0.0004624158660021527,0.0004624158660021527,0.00014130644228904643,0.00014130644228904643
2016-02-26,Friday,0.00048595836104148304,0.00048595836104148304,-0.0009716682008795718,0.0009716682008795718
2016-02-29,Monday,-0.00040865384615385025,0.00040865384615385025,-0.0009019741844522589,0.0009019741844522589
2016-03-01,Tuesday,0.0001519295047098801,0.0001519295047098801,0.0003039359708221223,0.0003039359708221223
2016-03-02,Wednesday,0.0008333122900936463,0.0008333122900936463,0.0006308670636923086,0.0006308670636923086
2016-03-03,Thursday,-5.0210885719992326e-05,5.0210885719992326e-05,-0.0003012501882811991,0.0003012501882811991
2016-03-04,Friday,-0.0004224022263080718,0.0004224022263080718,0.000498579049708292,0.000498579049708292
2016-03-07,Monday,-0.0007989819343248161,0.0007989819343248161,-0.0008003601620729661,0.0008003601620729661
2016-03-08,Tuesday,0.000325553440849502,0.000325553440849502,0.00010685261362497478,0.00010685261362497478
2016-03-09,Wednesday,0.0,0.0,-0.0014542172299668588,0.0014542172299668588
2016-03-10,Thursday,0.000606351289948126,0.000606351289948126,0.0,0.0
2016-03-11,Friday,0.0002472432378974876,0.0002472432378974876,-4.946332294597511e-05,4.946332294597511e-05
2016-03-14,Monday,-0.0005429953598579118,0.0005429953598579118,0.00019737491364835158,0.00019737491364835158
2016-03-15,Tuesday,-0.00038435325630425954,0.00038435325630425954,0.00042097964439613555,0.00042097964439613555
2016-03-16,Wednesday,0.005253506467760349,0.005253506467760349,-0.0006399212404626375,0.0006399212404626375
2016-03-17,Thursday,-9.761335350666478e-05,9.761335350666478e-05,-9.757525491538299e-05,9.757525491538299e-05
2016-03-18,Friday,0.0001469651692549423,0.0001469651692549423,0.00022042075873707212,0.00022042075873707212
2016-03-21,Monday,-0.00011041491089869293,0.00011041491089869293,2.4412870465395642e-05,2.4412870465395642e-05
2016-03-22,Tuesday,0.00036581796897849905,0.00036581796897849905,0.00029254022428082394,0.00029254022428082394
2016-03-23,Wednesday,0.0005936639861838788,0.0005936639861838788,0.0005399833096066953,0.0005399833096066953
2016-03-24,Thursday,-0.00059247556038311,0.00059247556038311,-4.9358341559724295e-05,4.9358341559724295e-05
2016-03-28,Monday,0.0009337393781621017,0.0009337393781621017,-0.0005895357406042745,0.0005895357406042745
2016-03-29,Tuesday,0.0014683569086193504,0.0014683569086193504,-4.879476920072179e-05,4.879476920072179e-05
2016-03-30,Wednesday,0.0007282260413632446,0.0007282260413632446,-2.4250066687714344e-05,2.4250066687714344e-05
2016-03-31,Thursday,-0.00048586143231943435,0.00048586143231943435,0.00012697708428488497,0.00012697708428488497
2016-04-01,Friday,0.00047450562233430915,0.00047450562233430915,0.000630119722747402,0.000630119722747402
2016-04-04,Monday,-0.00033936103165765896,0.00033936103165765896,0.0002842728242942183,0.0002842728242942183
2016-04-05,Tuesday,2.4445096313607806e-05,2.4445096313607806e-05,0.0005616331314710621,0.0005616331314710621
2016-04-06,Wednesday,-0.0005591753379364794,0.0005591753379364794,-0.0004869260359351424,0.0004869260359351424
2016-04-07,Thursday,-0.0009321493401365233,0.0009321493401365233,0.00039306244779635513,0.00039306244779635513
2016-04-08,Friday,-0.0008785630613041828,0.0008785630613041828,-0.0007319929728673014,0.0007319929728673014
2016-04-11,Monday,-0.0007314932214961267,0.0007314932214961267,-4.8799531524479356e-05,4.8799531524479356e-05
2016-04-12,Tuesday,0.0001419819118935184,0.0001419819118935184,0.00019442959218407552,0.00019442959218407552
2016-04-13,Wednesday,-0.0005297630514351503,0.0005297630514351503,0.0005902547732337116,0.0005902547732337116
2016-04-14,Thursday,-0.00024029219530952162,0.00024029219530952162,-0.0009127155690060729,0.0009127155690060729
2016-04-15,Friday,0.0002890730391211793,0.0002890730391211793,0.00019260400616327722,0.00019260400616327722
2016-04-18,Monday,-0.0005743000717873814,0.0005743000717873814,9.572125969192768e-05,9.572125969192768e-05
2016-04-19,Tuesday,-4.769172071739103e-05,4.769172071739103e-05,-9.542895314440525e-05,9.542895314440525e-05
2016-04-20,Wednesday,-4.749014579474853e-05,4.749014579474853e-05,0.0003440788771162939,0.0003440788771162939
2016-04-21,Thursday,-0.00045582753743600435,0.00045582753743600435,-0.0009570751782551623,0.0009570751782551623
2016-04-22,Friday,0.0007427284488954466,0.0007427284488954466,-0.0004616562215949971,0.0004616562215949971
2016-04-25,Monday,0.0002401190990732882,0.0002401190990732882,0.0,0.0
2016-04-26,Tuesday,0.00023915648214711815,0.00023915648214711815,0.0005273755873045349,0.0005273755873045349
2016-04-27,Wednesday,-0.0005754291742591233,0.0005754291742591233,-0.0016783738422329053,0.0016783738422329053
2016-04-28,Thursday,-0.00028721624850658323,0.00028721624850658323,-0.00040638745458021486,0.00040638745458021486
