date,weekday,rth_high,rth_low,rth_close,rth_range,am_range,pm_range,prev_close,true_range,atr20_prior,atr20_prior_rth,expansion,expansion_rth,expansion_am,expansion_pm,orb_outcome,orb_R
2016-02-04,Thursday,192.75,189.96,191.55,2.789999999999992,2.789999999999992,1.6399999999999864,191.19,2.789999999999992,4.3625000000000025,3.766250000000002,0.6395415472779348,0.7407899103883148,0.6395415472779348,0.3759312320916872,held_to_close,0.12765957446809026
2016-02-05,Friday,191.08,187.2,187.95,3.880000000000024,3.0895000000000152,2.0100000000000193,191.55,4.350000000000023,4.409500000000003,3.8132500000000022,0.8799183580904912,1.017504753163318,0.7006463317836519,0.45583399478399317,held_to_close,1.2681159420289636
2016-02-08,Monday,186.12,182.8,185.37,3.319999999999993,2.5800000000000125,3.319999999999993,187.95,5.149999999999977,4.435500000000003,3.884250000000003,0.7485063690677468,0.8547338611057452,0.5816706121068675,0.7485063690677468,stopped,-1.0
2016-02-09,Tuesday,186.94,183.2,185.37,3.740000000000009,3.0900000000000034,3.3899999999999864,185.37,3.740000000000009,4.4330000000000025,3.857750000000003,0.8436724565756839,0.9694770267643072,0.6970448905932781,0.7647191518159225,held_to_close,-0.17175572519083507
2016-02-10,Wednesday,188.34,185.12,185.29,3.219999999999999,2.4799999999999898,2.5960000000000036,185.37,3.219999999999999,4.406500000000004,3.8312500000000043,0.7307386814932477,0.8404567699836856,0.5628049472370333,0.5891296947690914,stopped,-1.0
2016-02-11,Thursday,184.1,181.09,183.06,3.009999999999991,2.5600000000000023,3.009999999999991,185.29,4.199999999999989,4.3880000000000035,3.812750000000004,0.6859617137648105,0.7894564290866141,0.5834092980856883,0.6859617137648105,stopped,-1.0
2016-02-12,Friday,186.65,183.96,186.64,2.6899999999999977,2.1699999999999875,1.490000000000009,183.06,3.5900000000000034,4.427500000000002,3.7927500000000025,0.6075663466967807,0.7092479071913509,0.49011857707509576,0.336533032185208,stopped,-1.0
2016-02-16,Tuesday,189.78,187.63,189.77,2.1500000000000057,1.3900000000000148,0.9300000000000068,186.64,3.140000000000015,4.283000000000001,3.6032500000000014,0.5019845902404868,0.5966835495733033,0.3245388746205964,0.21713752042960693,stopped,-1.0
2016-02-17,Wednesday,193.32,191.01,192.88,2.3100000000000023,1.670000000000016,0.9000000000000057,189.77,3.549999999999983,4.160000000000002,3.430750000000002,0.5552884615384618,0.673322159877578,0.4014423076923113,0.2163461538461551,held_to_close,1.476821192053001
2016-02-18,Thursday,193.27,191.72,192.04,1.5500000000000114,1.4699999999999989,1.0999999999999943,192.88,1.5500000000000114,4.019000000000003,3.384250000000003,0.3856680766359817,0.4580039890670045,0.36576262751928285,0.2736999253545642,held_to_close,0.46428571428573
