date,weekday,r_impulse,abs_r_impulse,r_continuation
2015-12-31,Thursday,,,
2016-01-04,Monday,-0.0006002701215547246,0.0006002701215547246,-0.00025026277591466695
2016-01-05,Tuesday,-0.000269264322179108,0.000269264322179108,-0.0002042428850426159
2016-01-06,Wednesday,0.0001504553917375251,0.0001504553917375251,0.0009559267458241205
2016-01-07,Thursday,0.00030851501439732587,0.00030851501439732587,-0.0010795250089961073
2016-01-08,Friday,0.000691113517974129,0.000691113517974129,0.0009534853755959194
2016-01-11,Monday,0.0005258176464402187,0.0005258176464402187,0.0007620148724283293
2016-01-12,Tuesday,0.0002605931099179948,0.0002605931099179948,-0.0026052521884117885
2016-01-13,Wednesday,-0.00010507512871704705,0.00010507512871704705,0.0
2016-01-14,Thursday,-0.0003641281731170398,0.0003641281731170398,-0.000910699417152272
2016-01-15,Friday,0.00010686044026497754,0.00010686044026497754,-0.0010150657121487106
2016-01-19,Tuesday,-0.00015971039182283153,0.00015971039182283153,-0.000372717107715248
2016-01-20,Wednesday,-0.00027157677475431186,0.00027157677475431186,-0.0023363216517251484
2016-01-21,Thursday,0.0001334757074211712,0.0001334757074211712,-0.0005338173277106284
2016-01-22,Friday,-0.000554621848739556,0.000554621848739556,3.6784025223113304e-05
2016-01-25,Monday,-0.0003172085646312439,0.0003172085646312439,0.0001322086781776477
2016-01-26,Tuesday,-0.00027096706303275653,0.00027096706303275653,-0.0009473185621807767
2016-01-27,Wednesday,0.0006807708420610847,0.0006807708420610847,-0.0015709874928043766
2016-01-28,Thursday,0.0005034446210916421,0.0005034446210916421,0.00314625309858263
2016-01-29,Friday,-0.00036357970186462474,0.00036357970186462474,-0.0003896913644394484
2016-02-01,Monday,-0.00015526343028671175,0.00015526343028671175,0.000258799171842794
2016-02-02,Tuesday,0.0005523844595838323,0.0005523844595838323,-0.0003154574132492316
2016-02-03,Wednesday,0.001197435965635485,0.001197435965635485,0.0007704160246531089
2016-02-04,Thursday,-0.0011251831693531722,0.0011251831693531722,-0.0008907052289637285
2016-02-05,Friday,0.0008502497608673387,0.0008502497608673387,-0.0007699046911089358
2016-02-08,Monday,0.0009013438216978198,0.0009013438216978198,0.0017464389019266058
2016-02-09,Tuesday,0.00024406117800213067,0.00024406117800213067,0.000298224210383502
2016-02-10,Wednesday,0.00010653675250282824,0.00010653675250282824,0.0002676659528906278
2016-02-11,Thursday,-8.241984669921099e-05,8.241984669921099e-05,-0.00020331904604886653
2016-02-12,Friday,0.00010783996549101893,0.00010783996549101893,0.00013909165601000417
2016-02-16,Tuesday,0.00047505938242276,0.00047505938242276,0.00031655587211143477
2016-02-17,Wednesday,-0.00041539020717595854,0.00041539020717595854,0.0013973300088307994
2016-02-18,Thursday,0.00036450739429305656,0.00036450739429305656,0.00020821404403714716
2016-02-19,Friday,-0.00010426985037281788,0.00010426985037281788,5.2143080613076265e-05
2016-02-22,Monday,1.2830546966213774e-05,1.2830546966213774e-05,-0.0003079449804967993
2016-02-23,Tuesday,0.0,0.0,0.0
2016-02-24,Wednesday,0.00026197448232578857,0.00026197448232578857,-0.000522739153162699
2016-02-25,Thursday,-0.00041103632533512346,0.00041103632533512346,-5.140066820874534e-05
2016-02-26,Friday,0.00030692107013141623,0.00030692107013141623,0.00020455649594741665
2016-02-29,Monday,-0.00030278232405889227,0.00030278232405889227,-0.0001018111122480514
2016-03-01,Tuesday,-0.0002532158411830965,0.0002532158411830965,0.00035457400466021305
2016-03-02,Wednesday,0.0003737279361633039,0.0003737279361633039,0.0004841622402929069
2016-03-03,Thursday,0.0002008435428799693,0.0002008435428799693,-0.0002510040160641491
