date,weekday,r_impulse,abs_r_impulse,r_continuation
2015-12-31,Thursday,,,
2016-01-04,Monday,-0.00034869240348689434,0.00034869240348689434,0.00034881403229025665
2016-01-05,Tuesday,-0.00014925373134333508,0.00014925373134333508,0.000248805732484092
2016-01-06,Wednesday,-5.041847332853955e-05,5.041847332853955e-05,-5.042610054961649e-05
2016-01-07,Thursday,-5.1387461459384554e-05,5.1387461459384554e-05,-0.0001541703067988731
2016-01-08,Friday,0.0029132168046610563,0.0029132168046610563,0.00285335779068574
2016-01-11,Monday,-0.00010363231255505756,0.00010363231255505756,5.182152666205475e-05
2016-01-12,Tuesday,0.00015479077446989287,0.00015479077446989287,-0.000412732807099081
2016-01-13,Wednesday,0.0009767633148263233,0.0009767633148263233,-0.000359527478171473
2016-01-14,Thursday,-0.0005273983439693097,0.0005273983439693097,0.0015831970024802189
2016-01-15,Friday,-0.002386128638846241,0.002386128638846241,0.0001594726770146604
2016-01-19,Tuesday,0.00031486146095716094,0.00031486146095716094,-0.0006819493259192511
2016-01-20,Wednesday,-0.0001622849724115527,0.0001622849724115527,0.0009197143475436764
2016-01-21,Thursday,5.363368195232532e-05,5.363368195232532e-05,0.005684865386678117
2016-01-22,Friday,0.00047508445945942945,0.00047508445945942945,-0.0001582862871313262
2016-01-25,Monday,0.00026364355391494954,0.00026364355391494954,0.0007907221929361885
2016-01-26,Tuesday,0.00010629251700677855,0.00010629251700677855,0.0009034863945578397
2016-01-27,Wednesday,0.00021091484313195963,0.00021091484313195963,-0.000843392546518329
2016-01-28,Thursday,-0.002649989400042352,0.002649989400042352,-5.3137786279799926e-05
2016-01-29,Friday,0.001951785620087687,0.001951785620087687,-0.00010530749789372518
2016-02-01,Monday,0.0003643366470618137,0.0003643366470618137,-0.0004682622268469272
2016-02-02,Tuesday,-0.00020835503698302116,0.00020835503698302116,0.0004688965301657966
2016-02-03,Wednesday,-0.0002620545073376279,0.0002620545073376279,0.0004717722912408462
2016-02-04,Thursday,-0.0011548556430446277,0.0011548556430446277,0.00099847601030012
2016-02-05,Friday,-0.0019346405228758412,0.0019346405228758412,-0.002829298962590432
2016-02-08,Monday,0.00048478319418254756,0.00048478319418254756,-0.00026916451335046165
2016-02-09,Tuesday,-0.00043447564220921997,0.00043447564220921997,-0.0010866612333605419
2016-02-10,Wednesday,-0.00010671219720403968,0.00010671219720403968,-0.002668232029457318
2016-02-11,Thursday,0.0004938271604939537,0.0004938271604939537,-0.0006581473153074446
2016-02-12,Friday,0.0026003575491628794,0.0026003575491628794,0.001566889993516174
2016-02-16,Tuesday,0.0003183868400107315,0.0003183868400107315,0.0006896551724138167
