date,weekday,up_exc,down_exc,range,endpoint,endpoint_floor_hit,ratio_raw,ratio_floored
2016-01-04,Monday,0.00054794520547952,0.0007970112079700951,0.001344956413449615,0.0005977584059776067,False,2.25,2.25
2016-01-05,Tuesday,0.0007960199004974955,0.0004477611940298677,0.0012437810945273632,0.0002985074626865785,False,4.166666666666508,4.166666666666508
2016-01-06,Wednesday,0.0004033477866289406,0.0012100433598871085,0.0016133911465160491,0.0008066955732580246,False,2.0,2.0
2016-01-07,Thursday,0.001079136690647523,0.0008735868448098022,0.0019527235354573251,0.0009249743062693053,False,2.111111111111006,2.111111111111006
2016-01-08,Friday,0.0067463968107942,0.00020443626699372404,0.006950833077787924,0.002146580803434611,False,3.2380952380950796,3.2380952380950796
2016-01-11,Monday,0.0005699777190527241,0.0006736100316078317,0.0012435877506605558,0.0001036323125549604,False,12.00000000000995,12.00000000000995
2016-01-12,Tuesday,0.00046437232340954237,0.0008771477219958511,0.0013415200454053935,0.00015479077446984747,False,8.666666666666982,8.666666666666982
2016-01-13,Wednesday,0.0016964836520665437,0.0,0.0016964836520665437,0.0006940160394817546,False,2.4444444444444913,2.4444444444444913
2016-01-14,Thursday,0.0020568535414798076,0.0006856178471600858,0.0027424713886398935,0.000474658509572148,False,5.777777777779497,5.777777777779497
2016-01-15,Friday,0.00010605016172655088,0.0045071318733760765,0.004613182035102628,0.0036057054987009216,False,1.2794117647058763,1.2794117647058763
2016-01-19,Tuesday,0.0011020151133501676,0.0006821998320738636,0.0017842149454240313,0.0009445843828715723,False,1.8888888888888362,1.8888888888888362
2016-01-20,Wednesday,0.0010278048252731673,0.0014605647517040474,0.002488369576977215,0.00016228497241156084,False,15.333333333333018,15.333333333333018
2016-01-21,Thursday,0.00815231965674449,0.0005363368195226298,0.00868865647626712,0.005095199785465364,False,1.705263157894711,1.705263157894711
2016-01-22,Friday,0.000950168918918955,0.0005278716216215916,0.0014780405405405467,0.00026393581081087084,False,5.59999999999875,5.59999999999875
2016-01-25,Monday,0.0014764039019246038,0.000896388083311447,0.0023727919852360507,0.0003691009754811135,False,6.428571428572298,6.428571428572298
2016-01-26,Tuesday,0.001488095238095244,0.0003188775510204202,0.0018069727891156643,0.0014349489795918912,False,1.259259259259224,1.259259259259224
2016-01-27,Wednesday,0.0010545742156603671,0.000896388083311447,0.001950962298971814,0.0006854732401792536,False,2.846153846153981,2.846153846153981
2016-01-28,Thursday,0.0002119991520033498,0.0032859868560525998,0.0034979860080559494,0.00211999152003395,False,1.649999999999968,1.649999999999968
2016-01-29,Friday,0.0026902990979586396,0.0010022682913963061,0.0036925673893549458,0.0012132721422166914,False,3.043478260869399,3.043478260869399
2016-02-01,Monday,0.0016134908655597892,0.00046843283193672726,0.0020819236974965166,0.0015093946806849115,False,1.3793103448276438,1.3793103448276438
2016-02-02,Tuesday,0.00869882279404113,0.00036462131472024783,0.009063444108761377,0.001145952703406599,False,7.909090909090991,7.909090909090991
2016-02-03,Wednesday,0.0026729559748427194,0.0003668763102726499,0.0030398322851153694,0.0026729559748427194,False,1.1372549019608291,1.1372549019608291
2016-02-04,Thursday,0.0008398950131233417,0.001784776902887157,0.0026246719160104987,0.0002099737532807981,False,12.500000000002487,12.500000000002487
2016-02-05,Friday,0.0005751633986928818,0.005751633986928075,0.0063267973856209565,0.0028758169934641115,False,2.199999999999969,2.199999999999969
2016-02-08,Monday,0.0017775383786694536,0.0002693239967681733,0.0020468623754376267,0.0010234311877188134,False,2.0,2.0
2016-02-09,Tuesday,5.430945527611419e-05,0.004073209145712269,0.004127518600988383,0.0018465214793895804,False,2.23529411764701,2.23529411764701
2016-02-10,Wednesday,0.0006402731832248669,0.004908761071390394,0.005549034254615261,0.0021342439440826875,False,2.600000000000128,2.600000000000128
2016-02-11,Thursday,0.0017558299039780146,0.0009876543209876916,0.0027434842249657062,0.0010973936899862202,False,2.500000000000142,2.500000000000142
2016-02-12,Friday,0.004550625711035285,0.0002166964624302077,0.004767322173465493,0.003304621052061245,False,1.4426229508196995,1.4426229508196995
2016-02-16,Tuesday,0.0011674184133722413,0.0015388697267179202,0.0027062881400901615,0.0013796763067126076,False,1.9615384615384954,1.9615384615384954
2016-02-17,Wednesday,0.0008908452549388854,0.0005240266205524432,0.0014148718754913286,0.0006812346067179974,False,2.0769230769232285,2.0769230769232285
2016-02-18,Thursday,0.0005172235440156942,0.00036205648081097126,0.0008792800248266654,5.1722354401525315e-05,True,17.00000000001421,8.792800248266653
2016-02-19,Friday,0.0009392121054005052,0.001513175058700715,0.00245238716410122,0.0009392121054005052,False,2.6111111111110055,2.6111111111110055
2016-02-22,Monday,0.00020611119699088197,0.000515277992476912,0.000721389189467794,0.00010305559849529454,False,7.000000000007105,7.000000000007105
2016-02-23,Tuesday,0.001548546946781662,0.0001548546946781662,0.0017034016414598282,0.0014453104836628357,False,1.1785714285714683,1.1785714285714683
2016-02-24,Wednesday,0.0005773369023250156,0.0013121293234661208,0.0018894662257911365,0.00015745551881594046,False,11.999999999999053,11.999999999999053
2016-02-25,Thursday,0.0017039293643827775,0.0007745133474465703,0.002478442711829348,0.00015490266948934341,False,15.999999999999053,15.999999999999053
2016-02-26,Friday,0.0015748831538305338,0.0009144482828693702,0.002489331436699904,0.001524080471448806,False,1.6333333333334565,1.6333333333334565
2016-02-29,Monday,0.0034408381265406095,0.00015406737880033452,0.003594905505340944,0.002721857025472479,False,1.3207547169811078,1.3207547169811078
2016-03-01,Tuesday,0.0008727795461545718,0.0,0.0008727795461545718,0.0004107197864257753,False,2.1249999999995115,2.1249999999995115
2016-03-02,Wednesday,0.0002526783909440639,0.0006569638164543939,0.0009096422073984578,0.00035374974732157457,False,2.57142857142892,2.57142857142892
2016-03-03,Thursday,0.0002011768847758992,0.0009555902026858429,0.0011567670874617422,0.00020117688477604216,False,5.749999999997514,5.749999999997514
2016-03-04,Friday,0.0037982907691538354,0.0002998650607226862,0.004098155829876522,0.0008995951821680584,False,4.555555555555346,4.555555555555346
2016-03-07,Monday,0.0,0.0007020007020007761,0.0007020007020007761,0.0007020007020007761,False,1.0,1.0
2016-03-08,Tuesday,0.0022048506714772383,0.0002505512126679263,0.0024554018841451645,0.0017037482461415283,False,1.4411764705882475,1.4411764705882475
