date,weekday,ret,abs_ret,range_pct,fh_abs_ret,sh_abs_ret
2016-01-04,Monday,-0.0020423412204233493,0.0020423412204233493,0.0028891656288917186,0.0005977584059776442,0.0015947373666899134
2016-01-05,Tuesday,0.0015422885572138334,0.0015422885572138334,0.002786069651741305,0.00029850746268667017,0.0009447096260939425
2016-01-06,Wednesday,0.00020167389331438024,0.00020167389331438024,0.0019159019864878261,0.0008066955732580761,0.001009183570491512
2016-01-07,Thursday,0.0034429599177800974,0.0034429599177800974,0.0047276464542650954,0.000924974306269366,0.0026700898587934674
2016-01-08,Friday,0.0012266176019626318,0.0012266176019626318,0.0069508330777879246,0.002146580803434661,0.000968942832372921
2016-01-11,Monday,-0.00041452925022023024,0.00041452925022023024,0.0020726462511011226,0.00010363231255494654,0.0005181078700585706
2016-01-12,Tuesday,0.0005675661730559778,0.0005675661730559778,0.0016511015943450884,0.00015479077446989287,0.0006708292481552025
2016-01-13,Wednesday,0.00015422578655144292,0.00015422578655144292,0.0019021180341351846,0.0006940160394817152,0.0005650878454740438
2016-01-14,Thursday,0.0009493170191443578,0.0009493170191443578,0.006187437371446698,0.0004746585095720679,0.0005271759186040725
2016-01-15,Friday,-0.005514608409777799,0.005514608409777799,0.009173338989342056,0.003605705498700873,0.0019158107604703156
2016-01-19,Tuesday,0.0002099076406381073,0.0002099076406381073,0.0017842149454240313,0.0009445843828714828,0.0005767919878350014
2016-01-20,Wednesday,0.0009196148436654283,0.0009196148436654283,0.0037866493562695477,0.0001622849724115527,0.0010820754206568584
2016-01-21,Thursday,0.00155537677661588,0.00155537677661588,0.00868865647626712,0.005095199785465354,0.0035750493570246844
2016-01-22,Friday,-0.0017947635135134865,0.0017947635135134865,0.003220016891891964,0.00026393581081096684,0.0020054887059319793
2016-01-25,Monday,-0.0015818613234906964,0.0015818613234906964,0.003585552333245488,0.0003691009754811514,0.0012132081443191334
2016-01-26,Tuesday,0.0007440476190476719,0.0007440476190476719,0.0021258503401360845,0.0014349489795919546,0.0007429420505199458
2016-01-27,Wednesday,0.0004745583970471312,0.0004745583970471312,0.0021618771421038573,0.0006854732401793129,5.27064776261188e-05
2016-01-28,Thursday,0.00466398134407453,0.00466398134407453,0.008002967988128,0.002119991520033948,0.0067449147591480685
2016-01-29,Friday,0.0030068048741889175,0.0030068048741889175,0.004589333755341059,0.0012132721422166703,0.001685807607206824
